state_code,year,alos_nights,avg_expenditure_rm,domestic_visitors_000,tourism_receipts_rm_mil,tourism_trips_000,dts_hotels_count,dts_rooms_count,population,hh_water_access,wqi_annual,n_rivers,waste_tonnes,coastal_area_fraction,pa_area_fraction,estimated_coastal_hotels,estimated_pa_hotels,motac_hotels_rated_count,green_hotel_count,tourism_concentration_ratio,expenditure_per_visitor,hotel_density_per_capita,green_hotel_share,international_arrivals_share
SBH,2025,3.14553107015999,368.874690910501,22361.168,9753.3273839687,26440.7605734467,876.0,51384.0,,,86.95,40.0,,0.143033,0.615656,9,38,62,4.0,,436.1725373186544,,0.06451612903225806,
SGR,2020,1.64066150657808,322.019481840348,19714.734,7051.46346613165,21897.63,400.0,45404.0,6994.4,100.0,77.97,92.0,,0.17425,0.39766,12,27,68,3.0,2.8186454878188267,357.6747962276159,0.9722063364977697,0.04411764705882353,
SGR,2021,1.83160904055607,279.044532385408,10211.58,3158.5633823777,11319.209,402.0,46004.0,7014.7,100.0,68.45,22.0,,0.17425,0.39766,12,27,68,3.0,1.455740088670934,309.3119167041437,0.9693928464510244,0.04411764705882353,
SGR,2022,2.32250757479501,336.110189828149,21989.558,8734.80808554066,25987.93,410.0,48402.0,7050.3,100.0,68.67,27.0,,0.17425,0.39766,12,27,68,3.0,3.118953519708381,397.22526871802785,0.9644979646256188,0.04411764705882353,
SGR,2023,2.24207367577779,383.522628111661,27579.478,11102.7131520834,28949.304,416.0,49930.0,7205.3,100.0,72.04,24.0,,0.17425,0.39766,12,27,68,3.0,3.8276654684745948,402.5715480214455,0.9437497397748879,0.04411764705882353,
SGR,2024,2.24075512447905,384.254770120676,34460.8280456694,14226.1256382058,37022.639,420.0,52178.0,,,82.08,13.0,,0.17425,0.39766,12,27,68,3.0,,412.8201916492706,,0.04411764705882353,
SGR,2025,2.31387210011661,386.283671217442,36376.442,15761.7254823629,40803.4992333148,422.0,53562.0,,,69.54,13.0,,0.17425,0.39766,12,27,68,3.0,,433.2948638122139,,0.04411764705882353,
SWK,2020,2.55178605762645,305.546169447442,9393.255,3384.67058146855,11077.444,748.0,39908.0,2453.7,86.4,83.7,123.0,,0.114842,0.113466,6,6,52,,3.828200268981538,360.32989431975926,2.119248481884501,0.0,
SWK,2021,3.0323043039809,271.148686673015,6510.9,1935.25867544385,7137.26,750.0,40228.0,2465.6,86.4,84.68,56.0,,0.114842,0.113466,6,6,52,,2.6406959766385465,297.23366592081743,2.109020116807268,0.0,
SWK,2022,3.51641852644725,281.524469817298,15464.621,5430.77227763946,19290.587,766.0,40774.0,2473.5,90.0,79.98,62.0,,0.114842,0.113466,6,6,52,,6.252120881342227,351.17396524877404,2.102284212654134,0.0,
